birthday,chamber,title,first_name,middle_name,last_name,name_suffix,nickname,party,state,state_name,term_start,term_end,in_office,phone,twitter_id
07/01/1960,house,Rep,Loretta,B.,Sanchez,,,D,CA,California,06/01/2015,03/01/2017,FALSE,202-225-2965,
28/05/1960,house,Rep,Edward,Scott,Rigell,,Scott,R,VA,Virginia,06/01/2015,03/01/2017,FALSE,202-225-4215,
05/04/1956,house,Rep,Reid,J.,Ribble,,,R,WI,Wisconsin,06/01/2015,03/01/2017,FALSE,202-225-5665,
11/06/1930,house,Rep,Charles,B.,Rangel,,Charlie,D,NY,New York,06/01/2015,03/01/2017,FALSE,202-225-4365,
10/10/1939,house,Rep,Joseph,R.,Pitts,,,R,PA,Pennsylvania,06/01/2015,03/01/2017,FALSE,202-225-2411,
26/04/1959,house,Com,Pedro,R.,Pierluisi,,,D,PR,Puerto Rico,03/01/2013,03/01/2017,FALSE,202-225-2615,
26/05/1951,house,Rep,Richard,B.,Nugent,,,R,FL,Florida,06/01/2015,03/01/2017,FALSE,202-225-1002,
24/12/1949,house,Rep,Randy,,Neugebauer,,,R,TX,Texas,06/01/2015,03/01/2017,FALSE,202-225-4005,
27/06/1959,house,Rep,Jeff,,Miller,,,R,FL,Florida,06/01/2015,03/01/2017,FALSE,202-225-4136,
27/01/1943,house,Rep,John,L.,Mica,,,R,FL,Florida,06/01/2015,03/01/2017,FALSE,202-225-4035,
28/12/1936,house,Rep,Jim,A.,McDermott,,,D,WA,Washington,06/01/2015,03/01/2017,FALSE,202-225-3106,
10/09/1954,house,Rep,Cynthia,M.,Lummis,,,R,WY,Wyoming,06/01/2015,03/01/2017,FALSE,202-225-2311,
06/09/1947,house,Rep,John,Paul,Kline,,,R,MN,Minnesota,06/01/2015,03/01/2017,FALSE,202-225-2271,
30/05/1958,house,Rep,Steve,J.,Israel,,,D,NY,New York,06/01/2015,03/01/2017,FALSE,202-225-3335,
16/06/1969,house,Rep,Robert,,Hurt,,,R,VA,Virginia,06/01/2015,03/01/2017,FALSE,202-225-4711,
11/11/1968,house,Rep,Tim,,Huelskamp,,,R,KS,Kansas,06/01/2015,03/01/2017,FALSE,202-225-2715,
27/06/1941,house,Rep,Michael,M.,Honda,,Mike,D,CA,California,06/01/2015,03/01/2017,FALSE,202-225-2631,
20/08/1940,house,Rep,Rubén,E.,Hinojosa,,,D,TX,Texas,06/01/2015,03/01/2017,FALSE,202-225-2531,
30/10/1961,house,Rep,Joseph,J.,Heck,,,R,NV,Nevada,06/01/2015,03/01/2017,FALSE,202-225-3252,
25/01/1951,house,Rep,Richard,L.,Hanna,,,R,NY,New York,06/01/2015,03/01/2017,FALSE,202-225-3665,
13/05/1964,house,Rep,Christopher,P.,Gibson,,,R,NY,New York,06/01/2015,03/01/2017,FALSE,202-225-5614,
09/07/1959,house,Rep,Scott,,Garrett,,,R,NJ,New Jersey,06/01/2015,03/01/2017,FALSE,202-225-4465,
17/02/1952,house,Rep,J.,Randy,Forbes,,,R,VA,Virginia,06/01/2015,03/01/2017,FALSE,202-225-6365,
05/07/1951,house,Rep,John,,Fleming,,,R,LA,Louisiana,06/01/2015,03/01/2017,FALSE,202-225-2777,
28/06/1963,house,Rep,Michael,G.,Fitzpatrick,,,R,PA,Pennsylvania,06/01/2015,03/01/2017,FALSE,202-225-4276,
07/02/1973,house,Rep,Stephen,Lee,Fincher,,,R,TN,Tennessee,06/01/2015,03/01/2017,FALSE,202-225-4714,
04/07/1941,house,Rep,Sam,,Farr,,,D,CA,California,06/01/2015,03/01/2017,FALSE,202-225-2861,
09/02/1964,house,Rep,Renee,L.,Ellmers,,,R,NC,North Carolina,06/01/2015,03/01/2017,FALSE,202-225-4531,
28/06/1958,house,Rep,Donna,F.,Edwards,,,D,MD,Maryland,06/01/2015,03/01/2017,FALSE,202-225-8699,
01/09/1944,house,Rep,Ander,,Crenshaw,,,R,FL,Florida,06/01/2015,03/01/2017,FALSE,202-225-2501,
20/05/1956,house,Rep,John,C.,Carney,,,D,DE,Delaware,06/01/2015,03/01/2017,FALSE,202-225-4165,
10/01/1938,house,Rep,Lois,,Capps,,,D,CA,California,06/01/2015,03/01/2017,FALSE,202-225-3601,
11/11/1946,house,Rep,Corrine,,Brown,,,D,FL,Florida,06/01/2015,03/01/2017,FALSE,202-225-0123,
21/02/1956,house,Rep,Charles,W.,Boustany,Jr.,,R,LA,Louisiana,06/01/2015,03/01/2017,FALSE,202-225-2031,
20/04/1952,house,Rep,Dan,,Benishek,,,R,MI,Michigan,06/01/2015,03/01/2017,FALSE,202-225-4735,
03/05/1961,senate,Sen,David,,Vitter,,,R,LA,Louisiana,05/01/2011,03/01/2017,FALSE,202-224-4623,
02/12/1939,senate,Sen,Harry,M.,Reid,,,D,NV,Nevada,05/01/2011,03/01/2017,FALSE,202-224-3542,
20/07/1936,senate,Sen,Barbara,A.,Mikulski,,,D,MD,Maryland,05/01/2011,03/01/2017,FALSE,202-224-4654,
15/09/1959,senate,Sen,Mark,Steven,Kirk,,,R,IL,Illinois,05/01/2011,03/01/2017,FALSE,202-224-2854,
16/05/1943,senate,Sen,Daniel,Ray,Coats,,,R,IN,Indiana,05/01/2011,03/01/2017,FALSE,202-224-5623,
11/11/1940,senate,Sen,Barbara,,Boxer,,,D,CA,California,05/01/2011,03/01/2017,FALSE,202-224-3553,
27/06/1968,senate,Sen,Kelly,,Ayotte,,,R,NH,New Hampshire,05/01/2011,03/01/2017,FALSE,202-224-3324,
07/05/1954,house,Rep,Candice,S.,Miller,,,R,MI,Michigan,06/01/2015,31/12/2016,FALSE,202-225-2106,
30/03/1952,house,Rep,Janice,,Hahn,,,D,CA,California,06/01/2015,04/12/2016,FALSE,202-225-8220,
01/07/1967,house,Rep,Mark,,Takai,,,D,HI,Hawaii,06/01/2015,20/07/2016,FALSE,202-225-2726,
25/05/1943,house,Rep,Ed,,Whitfield,,,R,KY,Kentucky,06/01/2015,07/09/2016,FALSE,202-225-3115,
21/11/1956,house,Rep,Chaka,,Fattah,,,D,PA,Pennsylvania,06/01/2015,23/06/2016,FALSE,202-225-4001,
17/11/1949,house,Rep,John,A.,Boehner,,,R,OH,Ohio,06/01/2015,31/10/2015,FALSE,202-225-6205,
28/05/1981,house,Rep,Aaron,,Schock,,,R,IL,Illinois,06/01/2015,31/03/2015,FALSE,202-225-6201,
09/10/1958,house,Rep,Alan,,Nunnelee,,,R,MS,Mississippi,06/01/2015,06/02/2015,FALSE,202-225-4306,
18/06/1950,senate,Sen,Mike,,Johanns,,,R,NE,Nebraska,06/01/2009,03/01/2015,FALSE,202-224-4224,
18/03/1931,house,Rep,Howard,,Coble,,,R,NC,North Carolina,03/01/2013,03/01/2015,FALSE,202-225-3065,
07/02/1970,house,Rep,Michael,G.,Grimm,,,R,NY,New York,03/01/2013,03/01/2015,FALSE,202-225-3371,
03/11/1960,senate,Sen,John,E.,Walsh,,,D,MT,Montana,11/02/2014,03/01/2015,FALSE,202-224-2651,
07/01/1974,house,Rep,Vance,,McAllister,,,R,LA,Louisiana,16/11/2013,03/01/2015,FALSE,202-225-8490,
02/12/1961,house,Rep,Pete,P.,Gallego,,,D,TX,Texas,03/01/2013,03/01/2015,FALSE,202-225-4511,
29/04/1973,house,Rep,Steven,A.,Horsford,,,D,NV,Nevada,03/01/2013,03/01/2015,FALSE,202-225-9894,
06/10/1951,house,Rep,Kerry,L.,Bentivolio,,,R,MI,Michigan,03/01/2013,03/01/2015,FALSE,202-225-8171,
22/09/1949,house,Rep,William,L.,Enyart,,,D,IL,Illinois,03/01/2013,03/01/2015,FALSE,202-225-5661,
19/10/1963,house,Rep,Joe,,Garcia,,,D,FL,Florida,03/01/2013,03/01/2015,FALSE,202-225-2778,
06/09/1941,house,Rep,Gloria,,Negrete McLeod,,,D,CA,California,03/01/2013,03/01/2015,FALSE,202-225-6161,
04/07/1968,house,Rep,Daniel,B.,Maffei,,,D,NY,New York,03/01/2013,03/01/2015,FALSE,202-225-3701,
14/11/1956,house,Rep,Steve,,Stockman,,,R,TX,Texas,03/01/2013,03/01/2015,FALSE,202-225-1555,
25/08/1945,house,Rep,Ron,,Barber,,,D,AZ,Arizona,03/01/2013,03/01/2015,FALSE,202-225-2542,
30/01/1939,house,Rep,Frank,R.,Wolf,,,R,VA,Virginia,03/01/2013,03/01/2015,FALSE,202-225-5136,
12/09/1939,house,Rep,Henry,A.,Waxman,,,D,CA,California,03/01/2013,03/01/2015,FALSE,202-225-3976,
18/09/1951,house,Rep,John,F.,Tierney,,,D,MA,Massachusetts,03/01/2013,03/01/2015,FALSE,202-225-8020,
29/01/1962,house,Rep,Lee,R.,Terry,,,R,NE,Nebraska,03/01/2013,03/01/2015,FALSE,202-225-4155,
10/10/1965,house,Rep,Steve,,Southerland,,,R,FL,Florida,03/01/2013,03/01/2015,FALSE,202-225-5235,
03/10/1948,house,Rep,Allyson,Y.,Schwartz,,,D,PA,Pennsylvania,03/01/2013,03/01/2015,FALSE,202-225-6111,
27/11/1973,house,Rep,Jon,,Runyan,,,R,NJ,New Jersey,03/01/2013,03/01/2015,FALSE,202-225-4765,
02/06/1963,house,Rep,Mike,,Rogers,,,R,MI,Michigan,03/01/2013,03/01/2015,FALSE,202-225-4872,
20/05/1949,house,Rep,Nick,J.,Rahall,II,,D,WV,West Virginia,03/01/2013,03/01/2015,FALSE,202-225-3452,
28/05/1940,house,Rep,Thomas,E.,Petri,,Tom,R,WI,Wisconsin,03/01/2013,03/01/2015,FALSE,202-225-2476,
28/06/1943,house,Rep,Ed,,Pastor,,,D,AZ,Arizona,03/01/2013,03/01/2015,FALSE,202-225-4065,
20/01/1949,house,Rep,William,L.,Owens,,,D,NY,New York,03/01/2013,03/01/2015,FALSE,202-225-4611,
16/05/1945,house,Rep,James,P.,Moran,Jr.,Jim,D,VA,Virginia,03/01/2013,03/01/2015,FALSE,202-225-4376,
17/05/1945,house,Rep,George,,Miller,,,D,CA,California,03/01/2013,03/01/2015,FALSE,202-225-2095,
16/10/1948,house,Rep,Gary,G.,Miller,,,R,CA,California,03/01/2013,03/01/2015,FALSE,202-225-3201,
18/01/1955,house,Rep,Michael,H.,Michaud,,,D,ME,Maine,03/01/2013,03/01/2015,FALSE,202-225-6306,
09/09/1938,house,Rep,Howard,P.,McKeon,,Buck,R,CA,California,03/01/2013,03/01/2015,FALSE,202-225-1956,
06/08/1956,house,Rep,Mike,,McIntyre,,,D,NC,North Carolina,03/01/2013,03/01/2015,FALSE,202-225-2731,
05/01/1944,house,Rep,Carolyn,,McCarthy,,,D,NY,New York,03/01/2013,03/01/2015,FALSE,202-225-5516,
21/03/1960,house,Rep,Jim,,Matheson,,,D,UT,Utah,03/01/2013,03/01/2015,FALSE,202-225-3011,
14/07/1948,house,Rep,Tom,P.,Latham,,,R,IA,Iowa,03/01/2013,03/01/2015,FALSE,202-225-5476,
24/04/1955,house,Rep,Jack,,Kingston,,,R,GA,Georgia,03/01/2013,03/01/2015,FALSE,202-225-5831,
15/10/1948,house,Rep,Rush,D.,Holt,,,D,NJ,New Jersey,03/01/2013,03/01/2015,FALSE,202-225-5801,
07/02/1941,house,Rep,Doc,,Hastings,,,R,WA,Washington,03/01/2013,03/01/2015,FALSE,202-225-5816,
03/05/1923,house,Rep,Ralph,M.,Hall,,,R,TX,Texas,03/01/2013,03/01/2015,FALSE,202-225-6673,
21/08/1968,house,Rep,Tim,,Griffin,,,R,AR,Arkansas,03/01/2013,03/01/2015,FALSE,202-225-2506,
10/07/1942,house,Rep,Phil,,Gingrey,,,R,GA,Georgia,03/01/2013,03/01/2015,FALSE,202-225-2931,
25/02/1955,house,Rep,Jim,,Gerlach,,,R,PA,Pennsylvania,03/01/2013,03/01/2015,FALSE,202-225-4315,
15/08/1943,house,Del,Eni,F. H.,Faleomavaega,,,D,AS,American Samoa,03/01/2013,03/01/2015,FALSE,202-225-8577,
08/07/1926,house,Rep,John,D.,Dingell,,,D,MI,Michigan,03/01/2013,03/01/2015,FALSE,202-225-4071,
14/03/1948,senate,Sen,Thomas,A.,Coburn,,,R,OK,Oklahoma,05/01/2011,03/01/2015,FALSE,202-224-5754,
19/09/1945,house,Del,Donna,M.,Christensen,,,D,VI,US Virgin Islands,03/01/2013,03/01/2015,FALSE,202-225-1790,
19/07/1955,house,Rep,John,Bayard Taylor,Campbell,III,,R,CA,California,03/01/2013,03/01/2015,FALSE,202-225-5611,
09/07/1953,house,Rep,Dave,Lee,Camp,,,R,MI,Michigan,03/01/2013,03/01/2015,FALSE,202-225-3561,
14/05/1946,house,Rep,Paul,C.,Broun,Jr.,,R,GA,Georgia,03/01/2013,03/01/2015,FALSE,202-225-4101,
30/10/1957,house,Rep,Bruce,L.,Braley,,,D,IA,Iowa,03/01/2013,03/01/2015,FALSE,202-225-2911,
01/06/1950,house,Rep,Timothy,H.,Bishop,,,D,NY,New York,03/01/2013,03/01/2015,FALSE,202-225-3826,
31/10/1955,house,Rep,John,,Barrow,,,D,GA,Georgia,03/01/2013,03/01/2015,FALSE,202-225-2823,
28/12/1947,house,Rep,Spencer,Thomas,Bachus,III,,R,AL,Alabama,03/01/2013,03/01/2015,FALSE,202-225-4921,
06/04/1956,house,Rep,Michele,Marie,Bachmann,,,R,MN,Minnesota,03/01/2013,03/01/2015,FALSE,202-225-2331,
18/07/1950,senate,Sen,Mark,E.,Udall,,,D,CO,Colorado,06/01/2009,03/01/2015,FALSE,202-224-5941,
18/06/1937,senate,Sen,John,D.,Rockefeller,IV,Jay,D,WV,West Virginia,06/01/2009,03/01/2015,FALSE,202-224-6472,
10/01/1963,senate,Sen,Mark,,Pryor,,,D,AR,Arkansas,06/01/2009,03/01/2015,FALSE,202-224-2353,
28/06/1934,senate,Sen,Carl,,Levin,,,D,MI,Michigan,06/01/2009,03/01/2015,FALSE,202-224-6221,
23/11/1955,senate,Sen,Mary,L.,Landrieu,,,D,LA,Louisiana,06/01/2009,03/01/2015,FALSE,202-224-5824,
28/12/1946,senate,Sen,Tim,P.,Johnson,,,D,SD,South Dakota,06/01/2009,03/01/2015,FALSE,202-224-5842,
19/11/1939,senate,Sen,Thomas,,Harkin,,Tom,D,IA,Iowa,06/01/2009,03/01/2015,FALSE,202-224-3254,
26/05/1953,senate,Sen,Kay,,Hagan,,,D,NC,North Carolina,06/01/2009,03/01/2015,FALSE,202-224-6342,
10/11/1943,senate,Sen,Saxby,,Chambliss,,,R,GA,Georgia,06/01/2009,03/01/2015,FALSE,202-224-3521,
30/03/1962,senate,Sen,Mark,,Begich,,,D,AK,Alaska,06/01/2009,03/01/2015,FALSE,202-224-3004,
06/06/1963,house,Rep,Eric,I.,Cantor,,,R,VA,Virginia,03/01/2013,18/08/2014,FALSE,202-225-2815,
04/08/1957,house,Rep,Robert,E.,Andrews,,Rob,D,NJ,New Jersey,03/01/2013,18/02/2014,FALSE,202-225-6501,
11/12/1941,senate,Sen,Max,S.,Baucus,,,D,MT,Montana,06/01/2009,06/02/2014,FALSE,202-224-2651,
20/04/1976,house,Rep,Trey,,Radel,,,R,FL,Florida,03/01/2013,27/01/2014,FALSE,202-225-2536,
26/08/1945,house,Rep,Melvin,L.,Watt,,Mel,D,NC,North Carolina,03/01/2013,06/01/2014,FALSE,202-225-1510,
22/06/1965,senate,Sen,Jeffrey,Scott,Chiesa,,,R,NJ,New Jersey,10/06/2013,31/10/2013,FALSE,202-224-3224,
16/12/1930,house,Rep,C.,W. Bill,Young,,,R,FL,Florida,03/01/2013,18/10/2013,FALSE,202-225-5961,
05/12/1946,house,Rep,Rodney,M.,Alexander,,,R,LA,Louisiana,03/01/2013,27/09/2013,FALSE,202-225-8490,
19/11/1959,house,Rep,Jo,,Bonner,,,R,AL,Alabama,03/01/2013,02/08/2013,FALSE,202-225-4931,
04/04/1969,senate,Sen,William,,Cowan,,Mo,D,MA,Massachusetts,06/02/2013,16/07/2013,FALSE,202-224-2742,
23/01/1924,senate,Sen,Frank,R.,Lautenberg,,,D,NJ,New Jersey,06/01/2009,03/06/2013,FALSE,202-224-3224,
11/12/1943,senate,Sen,John,Forbes,Kerry,,,D,MA,Massachusetts,06/01/2009,01/02/2013,FALSE,202-224-2742,
16/09/1950,house,Rep,Jo Ann,H.,Emerson,,,R,MO,Missouri,03/01/2013,22/01/2013,FALSE,202-225-4404,
02/09/1951,senate,Sen,Jim,W.,DeMint,,,R,SC,South Carolina,05/01/2011,01/01/2013,FALSE,202-224-6121,
04/11/1948,house,Rep,David,Alan,Curson,,,D,MI,Michigan,13/11/2012,03/01/2013,FALSE,202-225-8171,
02/05/1941,house,Rep,Robert,L.,Turner,,,R,NY,New York,13/09/2011,03/01/2013,FALSE,202-225-6616,
27/08/1958,house,Rep,Kathleen,C.,Hochul,,,D,NY,New York,01/06/2011,03/01/2013,FALSE,202-225-5265,
03/11/1937,house,Rep,Lynn,C.,Woolsey,,,D,CA,California,05/01/2011,03/01/2013,FALSE,202-225-5161,
07/02/1961,house,Rep,Allen,,West,,,R,FL,Florida,05/01/2011,03/01/2013,FALSE,202-225-3026,
27/12/1961,house,Rep,Joe,,Walsh,,,R,IL,Illinois,05/01/2011,03/01/2013,FALSE,202-225-3711,
21/07/1934,house,Rep,Edolphus,,Towns,,Ed,D,NY,New York,05/01/2011,03/01/2013,FALSE,202-225-5936,
31/07/1963,house,Rep,Betty,,Sutton,,,D,OH,Ohio,05/01/2011,03/01/2013,FALSE,202-225-3401,
01/01/1965,house,Rep,John,A.,Sullivan,,,R,OK,Oklahoma,05/01/2011,03/01/2013,FALSE,202-225-2211,
16/04/1941,house,Rep,Clifford,B.,Stearns,,Cliff,R,FL,Florida,05/01/2011,03/01/2013,FALSE,202-225-5744,
11/11/1931,house,Rep,Fortney,H.,Stark,,Pete,D,CA,California,05/01/2011,03/01/2013,FALSE,202-225-5065,
31/12/1971,house,Rep,Heath,,Shuler,,,D,NC,North Carolina,05/01/2011,03/01/2013,FALSE,202-225-6401,
29/11/1951,house,Rep,Jean,,Schmidt,,,R,OH,Ohio,05/01/2011,03/01/2013,FALSE,202-225-3164,
23/01/1964,house,Rep,Robert,T.,Schilling,,Bobby,R,IL,Illinois,05/01/2011,03/01/2013,FALSE,202-225-5905,
14/10/1952,house,Rep,Steven,R.,Rothman,,,D,NJ,New Jersey,05/01/2011,03/01/2013,FALSE,202-225-5061,
02/08/1961,house,Rep,Mike,,Ross,,,D,AR,Arkansas,05/01/2011,03/01/2013,FALSE,202-225-3772,
16/09/1965,house,Rep,David,,Rivera,,,R,FL,Florida,05/01/2011,03/01/2013,FALSE,202-225-2778,
14/04/1962,house,Rep,Laura,,Richardson,,,D,CA,California,05/01/2011,03/01/2013,FALSE,202-225-7924,
10/11/1944,house,Rep,Silvestre,,Reyes,,,D,TX,Texas,05/01/2011,03/01/2013,FALSE,202-225-4831,
05/10/1955,house,Rep,Dennis,,Rehberg,,Denny,R,MT,Montana,05/01/2011,03/01/2013,FALSE,202-225-3211,
03/11/1976,house,Rep,Ben,,Quayle,,,R,AZ,Arizona,05/01/2011,03/01/2013,FALSE,202-225-3361,
05/03/1962,house,Rep,Todd,R.,Platts,,,R,PA,Pennsylvania,05/01/2011,03/01/2013,FALSE,202-225-5836,
07/06/1959,house,Rep,Mike,,Pence,,,R,IN,Indiana,05/01/2011,03/01/2013,FALSE,202-225-3021,
20/08/1935,house,Rep,Ronald,E.,Paul,,Ron,R,TX,Texas,05/01/2011,03/01/2013,FALSE,202-225-2831,
03/09/1936,house,Rep,John,W.,Olver,,,D,MA,Massachusetts,05/01/2011,03/01/2013,FALSE,202-225-5335,
01/08/1941,house,Rep,Sue,W.,Myrick,,,R,NC,North Carolina,05/01/2011,03/01/2013,FALSE,202-225-1976,
19/05/1953,house,Rep,R.,Bradley,Miller,,Brad,D,NC,North Carolina,05/01/2011,03/01/2013,FALSE,202-225-3032,
24/03/1944,house,Rep,Donald,A.,Manzullo,,,R,IL,Illinois,05/01/2011,03/01/2013,FALSE,202-225-5676,
12/08/1967,house,Rep,Connie,,Mack,IV,,R,FL,Florida,05/01/2011,03/01/2013,FALSE,202-225-2536,
22/09/1946,house,Rep,Daniel,E.,Lungren,,,R,CA,California,05/01/2011,03/01/2013,FALSE,202-225-5716,
21/10/1934,house,Rep,Jerry,,Lewis,,,R,CA,California,05/01/2011,03/01/2013,FALSE,202-225-5861,
23/12/1970,house,Rep,Jeff,M.,Landry,,,R,LA,Louisiana,05/01/2011,03/01/2013,FALSE,202-225-4031,
22/07/1954,house,Rep,Steven,C.,LaTourette,,,R,OH,Ohio,05/01/2011,03/01/2013,FALSE,202-225-5731,
08/10/1946,house,Rep,Dennis,J.,Kucinich,,,D,OH,Ohio,05/01/2011,03/01/2013,FALSE,202-225-5871,
31/01/1951,house,Rep,Larry,,Kissell,,,D,NC,North Carolina,05/01/2011,03/01/2013,FALSE,202-225-3715,
16/09/1929,house,Rep,Dale,E.,Kildee,,,D,MI,Michigan,05/01/2011,03/01/2013,FALSE,202-225-3611,
23/07/1946,house,Rep,Timothy,V.,Johnson,,,R,IL,Illinois,05/01/2011,03/01/2013,FALSE,202-225-2371,
05/03/1957,house,Rep,Tim,,Holden,,,D,PA,Pennsylvania,05/01/2011,03/01/2013,FALSE,202-225-5546,
27/10/1938,house,Rep,Maurice,D.,Hinchey,,,D,NY,New York,05/01/2011,03/01/2013,FALSE,202-225-6335,
20/05/1945,house,Rep,Walter,,Herger,,Wally,R,CA,California,05/01/2011,03/01/2013,FALSE,202-225-3076,
14/12/1959,house,Rep,Nan,,Hayworth,,,R,NY,New York,05/01/2011,03/01/2013,FALSE,202-225-5441,
05/05/1945,house,Rep,Charles,A.,Gonzalez,,Charlie,D,TX,Texas,05/01/2011,03/01/2013,FALSE,202-225-3236,
07/03/1944,house,Rep,Elton,W.,Gallegly,,,R,CA,California,05/01/2011,03/01/2013,FALSE,202-225-5811,
31/03/1940,house,Rep,Barney,,Frank,,,D,MA,Massachusetts,05/01/2011,03/01/2013,FALSE,202-225-5931,
05/07/1952,house,Rep,David,T.,Dreier,,,R,CA,California,05/01/2011,03/01/2013,FALSE,202-225-2305,
16/12/1940,house,Rep,Norman,D.,Dicks,,Norm,D,WA,Washington,05/01/2011,03/01/2013,FALSE,202-225-5916,
05/01/1962,house,Rep,Mark,S.,Critz,,,D,PA,Pennsylvania,05/01/2011,03/01/2013,FALSE,202-225-2065,
29/12/1959,house,Rep,Chip,,Cravaack,,,R,MN,Minnesota,05/01/2011,03/01/2013,FALSE,202-225-6211,
25/09/1949,house,Rep,Jerry,F.,Costello,,,D,IL,Illinois,05/01/2011,03/01/2013,FALSE,202-225-5661,
02/03/1957,house,Rep,Hansen,,Clarke,,,D,MI,Michigan,05/01/2011,03/01/2013,FALSE,202-225-2261,
12/09/1959,house,Rep,Ben,,Chandler,,,D,KY,Kentucky,05/01/2011,03/01/2013,FALSE,202-225-4706,
10/07/1958,house,Rep,Russ,,Carnahan,,,D,MO,Missouri,05/01/2011,03/01/2013,FALSE,202-225-2671,
30/07/1949,house,Rep,Francisco,,Canseco,,Quico,R,TX,Texas,05/01/2011,03/01/2013,FALSE,202-225-4511,
21/06/1938,house,Rep,Dan,L.,Burton,,,R,IN,Indiana,05/01/2011,03/01/2013,FALSE,202-225-2276,
08/05/1951,house,Rep,Ann Marie,,Buerkle,,,R,NY,New York,05/01/2011,03/01/2013,FALSE,202-225-3701,
10/01/1934,house,Rep,Leonard,L.,Boswell,,,D,IA,Iowa,05/01/2011,03/01/2013,FALSE,202-225-3806,
02/08/1973,house,Rep,Dan,,Boren,,,D,OK,Oklahoma,05/01/2011,03/01/2013,FALSE,202-225-2701,
24/10/1961,house,Rep,Mary,Whitaker,Bono Mack,,,R,CA,California,05/01/2011,03/01/2013,FALSE,202-225-5330,
28/01/1951,house,Rep,Brian,P.,Bilbray,,,R,CA,California,05/01/2011,03/01/2013,FALSE,202-225-0508,
15/08/1937,house,Rep,Judy,,Biggert,,,R,IL,Illinois,05/01/2011,03/01/2013,FALSE,202-225-3515,
15/04/1941,house,Rep,Howard,L.,Berman,,,D,CA,California,05/01/2011,03/01/2013,FALSE,202-225-4695,
20/01/1951,house,Rep,Shelley,,Berkley,,,D,NV,Nevada,05/01/2011,03/01/2013,FALSE,202-225-5965,
16/08/1959,house,Rep,Rick,,Berg,,,R,ND,North Dakota,05/01/2011,03/01/2013,FALSE,202-225-2611,
08/01/1952,house,Rep,Charles,F.,Bass,,Charlie,R,NH,New Hampshire,05/01/2011,03/01/2013,FALSE,202-225-5206,
03/06/1926,house,Rep,Roscoe,G.,Bartlett,,,R,MD,Maryland,05/01/2011,03/01/2013,FALSE,202-225-2721,
23/01/1947,house,Rep,Joe,,Baca,,,D,CA,California,05/01/2011,03/01/2013,FALSE,202-225-6161,
12/10/1958,house,Rep,Steve,,Austria,,,R,OH,Ohio,05/01/2011,03/01/2013,FALSE,202-225-4324,
07/03/1968,house,Rep,Jason,,Altmire,,,D,PA,Pennsylvania,05/01/2011,03/01/2013,FALSE,202-225-2565,
05/07/1947,house,Rep,W.,Todd,Akin,,,R,MO,Missouri,05/01/2011,03/01/2013,FALSE,202-225-2561,
14/12/1956,house,Rep,Sandy,,Adams,,,R,FL,Florida,05/01/2011,03/01/2013,FALSE,202-225-2706,
19/11/1942,house,Rep,Gary,L.,Ackerman,,,D,NY,New York,05/01/2011,03/01/2013,FALSE,202-225-2601,
12/09/1959,senate,Sen,Scott,,Brown,,,R,MA,Massachusetts,04/02/2010,03/01/2013,FALSE,202-224-4543,
09/02/1946,senate,Sen,Jim,,Webb,,,D,VA,Virginia,04/01/2007,03/01/2013,FALSE,202-224-4024,
21/02/1947,senate,Sen,Olympia,J.,Snowe,,,R,ME,Maine,04/01/2007,03/01/2013,FALSE,202-224-5344,
17/05/1941,senate,Sen,Ben,E.,Nelson,,,D,NE,Nebraska,04/01/2007,03/01/2013,FALSE,202-224-6551,
